,ID,Title,Director,Release_Year,Original_Lang,Main_Genre,Genres,Runtime,User_Score,Ratings,Budget,Revenue,URL
40,120,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,English,Adventure,"['Fantasy', 'Action']",179,84.0,21811,93000000,871368364,https://www.themoviedb.org/movie/120-the-lord-of-the-rings:-the-fellowship-of-the-ring
41,18491,Neon Genesis Evangelion: The End of Evangelion,Hideaki Anno,1997,Japanese,Drama,"['Animation', 'ScienceFiction', 'Action']",87,84.0,1177,-,20000000,https://www.themoviedb.org/movie/18491-neon-genesis-evangelion:-the-end-of-evangelion
42,157336,Interstellar,Christopher Nolan,2014,English,Adventure,"['Drama', 'ScienceFiction']",169,84.0,29824,165000000,701729206,https://www.themoviedb.org/movie/157336-interstellar
43,423,The Pianist,Roman Polanski,2002,English,Drama,['War'],150,84.0,7640,35000000,120072577,https://www.themoviedb.org/movie/423-the-pianist
44,599,Sunset Boulevard,Billy Wilder,1950,English,Drama,[],110,84.0,2079,1752000,5000000,https://www.themoviedb.org/movie/599-sunset-boulevard
45,244786,Whiplash,Damien Chazelle,2014,English,Drama,['Music'],107,84.0,12746,3300000,13092000,https://www.themoviedb.org/movie/244786-whiplash
46,121,The Lord of the Rings: The Two Towers,Peter Jackson,2002,English,Adventure,"['Fantasy', 'Action']",179,84.0,18953,79000000,926287400,https://www.themoviedb.org/movie/121-the-lord-of-the-rings:-the-two-towers
47,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,Hideaki Anno,2021,Japanese,Animation,"['Action', 'ScienceFiction', 'Drama']",155,84.0,584,-,92246218,https://www.themoviedb.org/movie/283566-evangelion:-3.0+1.0-thrice-upon-a-time
48,567,Rear Window,Cornell Woolrich,1954,English,Thriller,['Mystery'],112,84.0,5430,1000000,37034514,https://www.themoviedb.org/movie/567-rear-window
49,73,American History X,Tony Kaye,1998,English,Drama,[],119,84.0,9979,20000000,23875127,https://www.themoviedb.org/movie/73-american-history-x
50,20334,The Shop Around the Corner,Ernst Lubitsch,1940,English,Comedy,"['Drama', 'Romance']",99,84.0,552,-,-,https://www.themoviedb.org/movie/20334-the-shop-around-the-corner
51,3782,Ikiru,Akira Kurosawa,1952,Japanese,Drama,[],143,84.0,850,-,55240,https://www.themoviedb.org/movie/3782-ikiru
52,27205,Inception,Christopher Nolan,2010,English,Action,"['ScienceFiction', 'Adventure']",148,84.0,32626,160000000,825532764,https://www.themoviedb.org/movie/27205-inception
53,807,Se7en,David Fincher,1995,English,Crime,"['Mystery', 'Thriller']",127,84.0,17909,33000000,327311859,https://www.themoviedb.org/movie/807-se7en
54,914,The Great Dictator,Charlie Chaplin,1940,English,Comedy,['War'],125,84.0,2749,2000000,11000000,https://www.themoviedb.org/movie/914-the-great-dictator
55,644479,Dedicated to my ex,Jorge Ulloa,2019,Spanish;,Drama,['Comedy'],94,84.0,474,-,1315376,https://www.themoviedb.org/movie/644479-dedicated-to-my-ex
56,774372,"ariana grande: excuse me, i love you",Paul Dugdale,2020,English,Music,['Documentary'],97,83.0,311,-,-,"https://www.themoviedb.org/movie/774372-ariana-grande:-excuse-me,-i-love-you"
57,128,Princess Mononoke,Hayao Miyazaki,1997,Japanese,Adventure,"['Fantasy', 'Animation']",134,83.0,6632,26500000,159414369,https://www.themoviedb.org/movie/128-princess-mononoke
58,361743,Top Gun: Maverick,Jim Cash,2022,English,Action,['Drama'],131,83.0,4793,170000000,1482656000,https://www.themoviedb.org/movie/361743-top-gun:-maverick
59,901,City Lights,Charlie Chaplin,1931,English,Comedy,"['Drama', 'Romance']",87,83.0,1737,1500000,4250000,https://www.themoviedb.org/movie/901-city-lights
60,632632,Given,Hikaru Yamaguchi,2020,Japanese,Animation,"['Drama', 'Music', 'Romance']",60,83.0,332,-,-,https://www.themoviedb.org/movie/632632-given
61,441130,Wolfwalkers,Ross Stewart,2020,English,Animation,"['Family', 'Adventure', 'Fantasy']",103,83.0,856,12000000,1266570,https://www.themoviedb.org/movie/441130-wolfwalkers
62,740996,BLACKPINK: Light Up the Sky,Caroline Suh,2020,Korean,Documentary,['Music'],79,83.0,438,-,-,https://www.themoviedb.org/movie/740996-blackpink:-light-up-the-sky
63,274,The Silence of the Lambs,Jonathan Demme,1991,English,Crime,"['Drama', 'Thriller']",119,83.0,13912,19000000,272742922,https://www.themoviedb.org/movie/274-the-silence-of-the-lambs
64,12493,High and Low,Akira Kurosawa,1963,Japanese,Crime,"['Drama', 'Mystery', 'Thriller']",142,83.0,640,250000,-,https://www.themoviedb.org/movie/12493-high-and-low
65,101,Léon: The Professional,Luc Besson,1994,English,Crime,"['Drama', 'Action']",111,83.0,12650,16000000,45284974,https://www.themoviedb.org/movie/101-léon:-the-professional
66,3082,Modern Times,Charlie Chaplin,1936,English,Comedy,['Drama'],87,83.0,3099,1500000,-,https://www.themoviedb.org/movie/3082-modern-times
